task_id,description,assigned_to,priority,deadline,status,task_type,workload,deadline_days
TASK001,Study performance metrics,Eve,Low,14-06-2025,In Progress,Research,9,30
TASK002,Provide usage documentation,Alice,Medium,16-05-2025,Open,Support,3,1
TASK003,Fix crash on launch,Diana,Medium,06-06-2025,Open,Bug,4,22
TASK004,Provide usage documentation,Bob,Medium,23-05-2025,Completed,Support,4,8
TASK005,Fix crash on launch,Diana,Medium,30-05-2025,Blocked,Bug,7,15
TASK006,Help user reset password,Charlie,Medium,25-05-2025,Open,Support,8,10
TASK007,Implement dark mode,Alice,Medium,29-05-2025,In Progress,Feature,2,14
TASK008,Troubleshoot connectivity issue,Eve,Medium,04-06-2025,Open,Support,7,20
TASK009,Study performance metrics,Charlie,Low,16-05-2025,Open,Research,7,1
TASK010,Refactor login module,Diana,High,26-05-2025,Open,Improvement,5,11
TASK011,Research API integration,Charlie,High,14-06-2025,Completed,Research,10,30
TASK012,Improve API response time,Alice,Medium,16-05-2025,Open,Improvement,5,1
TASK013,Resolve null pointer exception,Bob,Medium,11-06-2025,Open,Bug,10,27
TASK014,Refactor login module,Charlie,Critical,17-05-2025,Open,Improvement,5,2
TASK015,Explore new ML model,Bob,Medium,19-05-2025,Open,Research,7,4
TASK016,Fix login issue,Alice,Medium,12-06-2025,Open,Bug,8,28
TASK017,Improve API response time,Diana,Medium,20-05-2025,Blocked,Improvement,2,5
TASK018,Optimize database queries,Eve,Critical,18-05-2025,Open,Improvement,2,3
TASK019,Enhance UI design,Bob,Medium,14-06-2025,Completed,Improvement,10,30
TASK020,Provide usage documentation,Charlie,Low,21-05-2025,In Progress,Support,3,6
TASK021,Implement dark mode,Alice,Medium,28-05-2025,Open,Feature,6,13
TASK022,Research API integration,Eve,Medium,02-06-2025,In Progress,Research,1,18
TASK023,Implement dark mode,Diana,High,07-06-2025,Open,Feature,4,23
TASK024,Study performance metrics,Bob,High,27-05-2025,Completed,Research,3,12
TASK025,Improve API response time,Charlie,Low,07-06-2025,Open,Improvement,9,23
TASK026,Implement dark mode,Alice,High,11-06-2025,Open,Feature,10,27
TASK027,Correct date format bug,Alice,Low,24-05-2025,Open,Bug,3,9
TASK028,Explore new ML model,Charlie,High,21-05-2025,In Progress,Research,2,6
TASK029,Troubleshoot connectivity issue,Charlie,Medium,23-05-2025,Completed,Support,4,8
TASK030,Explore new ML model,Bob,High,27-05-2025,Blocked,Research,7,12
TASK031,Troubleshoot connectivity issue,Charlie,Medium,26-05-2025,Open,Support,3,11
TASK032,Fix login issue,Alice,Low,04-06-2025,Blocked,Bug,9,20
TASK033,Enhance UI design,Eve,High,07-06-2025,Blocked,Improvement,10,23
TASK034,Research API integration,Alice,Medium,22-05-2025,In Progress,Research,8,7
TASK035,Troubleshoot connectivity issue,Charlie,Low,26-05-2025,Open,Support,7,11
TASK036,Correct date format bug,Alice,Medium,16-05-2025,Completed,Bug,6,1
TASK037,Explore new ML model,Charlie,High,21-05-2025,In Progress,Research,2,6
TASK038,Optimize database queries,Diana,Low,01-06-2025,Open,Improvement,10,17
TASK039,Study performance metrics,Diana,Medium,24-05-2025,Open,Research,6,9
TASK040,Enhance UI design,Eve,Medium,29-05-2025,Open,Improvement,9,14
TASK041,Troubleshoot connectivity issue,Alice,High,30-05-2025,Open,Support,6,15
TASK042,Create export to CSV,Alice,High,18-05-2025,Open,Feature,8,3
TASK043,Enhance UI design,Alice,High,30-05-2025,Open,Improvement,6,15
TASK044,Create export to CSV,Bob,High,20-05-2025,Completed,Feature,1,5
TASK045,Explore new ML model,Bob,High,21-05-2025,Completed,Research,2,6
TASK046,Implement dark mode,Alice,High,25-05-2025,Open,Feature,9,10
TASK047,Enhance UI design,Charlie,High,08-06-2025,Blocked,Improvement,10,24
TASK048,Research API integration,Charlie,Medium,24-05-2025,Open,Research,1,9
TASK049,Develop search functionality,Bob,High,30-05-2025,Open,Feature,4,15
TASK050,Research API integration,Diana,Medium,31-05-2025,Completed,Research,4,16
TASK051,Explore new ML model,Diana,High,31-05-2025,In Progress,Research,8,16
TASK052,Refactor login module,Bob,Medium,27-05-2025,Blocked,Improvement,9,12
TASK053,Study performance metrics,Eve,Low,21-05-2025,Open,Research,3,6
TASK054,Fix crash on launch,Eve,High,29-05-2025,In Progress,Bug,9,14
TASK055,Troubleshoot connectivity issue,Diana,Medium,02-06-2025,In Progress,Support,8,18
TASK056,Troubleshoot connectivity issue,Bob,Low,29-05-2025,In Progress,Support,1,14
TASK057,Provide usage documentation,Bob,Medium,25-05-2025,Completed,Support,7,10
TASK058,Analyze competitors' features,Bob,High,26-05-2025,Open,Research,8,11
TASK059,Improve API response time,Bob,Low,09-06-2025,Open,Improvement,6,25
TASK060,Develop search functionality,Bob,Low,06-06-2025,In Progress,Feature,3,22
TASK061,Create export to CSV,Diana,Medium,30-05-2025,In Progress,Feature,10,15
TASK062,Troubleshoot connectivity issue,Eve,Low,03-06-2025,Completed,Support,7,19
TASK063,Resolve null pointer exception,Eve,Low,08-06-2025,Completed,Bug,8,24
TASK064,Create export to CSV,Diana,Medium,22-05-2025,Open,Feature,4,7
TASK065,Resolve null pointer exception,Eve,Low,13-06-2025,In Progress,Bug,7,29
TASK066,Explore new ML model,Alice,Medium,18-05-2025,Open,Research,7,3
TASK067,Implement dark mode,Eve,Low,18-05-2025,In Progress,Feature,5,3
TASK068,Create export to CSV,Diana,High,14-06-2025,Open,Feature,2,30
TASK069,Help user reset password,Charlie,Medium,07-06-2025,Open,Support,8,23
TASK070,Refactor login module,Eve,Medium,30-05-2025,In Progress,Improvement,1,15
TASK071,Analyze competitors' features,Bob,Medium,03-06-2025,Open,Research,6,19
